time,rpm,pressure,flow_rate,temperature,vibration,current,noise,ambient_temp,humidity,fluid_viscosity,external_vibration,failure,failure_type,failure_transition
450.500,100.000,2.500,134.400,120.000,5.500,33.000,103.700,19.000,47.700,1.000,7.900,1,3,OVERLOAD
451.000,100.000,2.500,119.200,120.000,5.600,33.000,96.200,18.800,47.700,1.000,7.900,1,3,OVERLOAD
451.500,100.000,2.500,124.800,120.000,4.500,33.000,104.000,18.700,47.300,1.000,8.000,1,3,OVERLOAD
452.000,100.000,2.500,135.300,120.000,4.200,33.000,107.200,18.700,47.400,1.000,8.100,1,3,OVERLOAD
452.500,100.000,2.500,119.200,120.000,4.800,33.000,99.700,18.800,47.300,1.000,8.100,1,3,OVERLOAD
453.000,100.000,2.500,123.400,120.000,4.400,33.000,97.900,18.600,47.300,1.000,8.100,1,3,OVERLOAD
453.500,100.000,2.500,126.600,120.000,4.400,33.000,97.900,18.500,47.400,1.000,8.200,1,3,OVERLOAD
454.000,100.000,2.500,136.000,120.000,5.300,33.000,101.400,18.500,47.600,1.000,8.400,1,3,OVERLOAD
454.500,100.000,2.500,129.800,120.000,4.100,33.000,94.500,18.500,47.100,1.000,8.300,1,3,OVERLOAD
455.000,100.000,2.500,118.700,120.000,3.900,33.000,106.300,18.500,47.100,1.000,8.400,1,3,OVERLOAD
455.500,100.000,2.500,118.300,120.000,4.800,33.000,103.700,18.500,47.200,1.000,8.300,1,3,OVERLOAD
456.000,100.000,2.500,120.500,120.000,4.500,33.000,99.900,18.400,47.600,1.000,8.200,1,3,OVERLOAD
456.500,100.000,2.500,123.300,120.000,4.900,33.000,106.800,18.400,48.000,1.000,8.300,1,3,OVERLOAD
457.000,100.000,2.500,114.400,120.000,5.800,33.000,103.800,18.400,48.400,1.000,8.200,1,3,OVERLOAD
457.500,100.000,2.500,116.100,120.000,4.300,33.000,100.100,18.500,48.600,1.000,8.100,1,3,OVERLOAD
458.000,100.000,2.500,109.800,120.000,4.400,33.000,97.400,18.700,48.800,1.000,8.100,1,3,OVERLOAD
458.500,100.000,2.500,113.300,120.000,4.100,33.000,101.700,18.600,49.100,1.000,8.100,1,3,OVERLOAD
459.000,100.000,2.500,128.300,120.000,5.100,33.000,102.400,18.800,48.800,1.000,8.100,1,3,OVERLOAD
459.500,100.000,2.500,111.800,120.000,4.400,33.000,97.800,18.800,49.200,1.000,7.900,1,3,OVERLOAD
460.000,100.000,2.500,134.700,120.000,4.300,33.000,104.700,19.000,49.400,1.000,8.000,1,3,OVERLOAD
460.500,100.000,2.500,116.200,120.000,4.000,33.000,113.300,18.800,49.900,1.000,8.200,1,3,OVERLOAD
461.000,100.000,2.500,132.700,120.000,4.400,33.000,103.400,18.800,50.000,1.000,8.100,1,3,OVERLOAD
461.500,100.000,2.500,113.700,120.000,5.100,33.000,101.900,18.900,50.200,1.000,8.100,1,3,OVERLOAD
462.000,100.000,2.500,120.900,120.000,4.200,33.000,100.200,19.000,50.000,1.000,8.100,1,3,OVERLOAD
462.500,100.000,2.500,126.600,120.000,4.700,33.000,93.600,19.100,50.200,1.000,8.200,1,3,OVERLOAD
463.000,100.000,2.500,124.500,120.000,5.200,33.000,107.200,19.000,50.300,1.000,8.300,1,3,OVERLOAD
463.500,100.000,2.500,119.500,120.000,5.000,33.000,103.300,19.100,50.300,1.000,8.300,1,3,OVERLOAD
464.000,100.000,2.500,119.700,120.000,5.300,33.000,88.000,19.200,50.500,1.000,8.400,1,3,OVERLOAD
464.500,100.000,2.500,113.300,120.000,4.600,33.000,102.200,19.300,50.700,1.000,8.400,1,3,OVERLOAD
465.000,100.000,2.500,132.300,120.000,6.100,33.000,101.700,19.200,50.900,1.000,8.600,1,3,OVERLOAD
465.500,100.000,2.500,117.300,120.000,4.600,33.000,88.300,19.400,51.200,1.000,8.400,1,3,OVERLOAD
466.000,100.000,2.500,128.600,120.000,5.100,33.000,99.600,19.500,50.800,1.000,8.300,1,3,OVERLOAD
466.500,100.000,2.500,136.000,120.000,3.800,33.000,88.000,19.600,50.400,1.000,8.200,1,3,OVERLOAD
467.000,100.000,2.500,120.800,120.000,4.400,33.000,92.200,19.500,50.800,1.000,8.300,1,3,OVERLOAD
467.500,100.000,2.500,122.800,120.000,4.700,33.000,102.100,19.400,50.800,1.000,8.300,1,3,OVERLOAD
468.000,100.000,2.500,122.600,120.000,5.100,33.000,95.800,19.200,50.800,1.000,8.100,1,3,OVERLOAD
468.500,100.000,2.500,108.500,120.000,3.800,33.000,98.200,19.200,50.800,1.000,8.000,1,3,OVERLOAD
469.000,100.000,2.500,117.900,120.000,4.600,33.000,101.300,19.200,50.400,1.000,7.900,1,3,OVERLOAD
469.500,100.000,2.500,130.500,120.000,4.700,33.000,102.300,19.200,50.400,1.000,8.000,1,3,OVERLOAD
470.000,100.000,2.500,121.600,120.000,4.900,33.000,105.400,19.000,50.600,1.000,7.800,1,3,OVERLOAD
470.500,100.000,2.500,131.300,120.000,4.600,33.000,105.500,19.000,50.200,1.000,7.700,1,3,OVERLOAD
471.000,100.000,2.500,123.700,120.000,4.700,33.000,101.000,19.100,50.600,1.000,7.600,1,3,OVERLOAD
471.500,100.000,2.500,109.500,120.000,4.900,33.000,88.000,19.200,50.200,1.000,7.400,1,3,OVERLOAD
472.000,100.000,2.500,108.200,120.000,4.200,33.000,106.300,19.100,49.800,1.000,7.400,1,3,OVERLOAD
472.500,118.900,2.500,135.100,120.000,4.300,33.000,103.000,18.900,50.000,1.000,7.300,1,3,OVERLOAD
473.000,162.900,2.500,123.500,120.000,4.100,33.000,104.400,19.000,50.400,1.000,7.300,1,3,OVERLOAD
473.500,199.700,2.500,126.900,120.000,6.300,33.000,97.400,19.100,50.200,1.000,7.400,1,3,OVERLOAD
474.000,231.900,2.500,123.400,120.000,5.800,33.000,101.400,19.000,49.800,1.000,7.400,1,3,OVERLOAD
474.500,299.900,2.500,121.600,120.000,5.100,33.000,98.500,19.200,49.800,1.000,7.300,1,3,OVERLOAD
475.000,351.900,2.500,116.400,120.000,4.100,33.000,95.900,19.200,49.700,1.000,7.400,1,3,OVERLOAD
475.500,474.800,2.500,136.000,120.000,4.600,33.000,99.000,19.300,49.900,1.000,7.200,1,3,OVERLOAD
476.000,558.700,2.500,128.700,120.000,5.200,33.000,94.900,19.500,49.800,1.000,7.300,1,3,OVERLOAD
476.500,613.700,2.500,135.400,120.000,5.200,33.000,99.400,19.600,49.300,1.000,7.400,1,3,OVERLOAD
477.000,710.700,2.500,136.000,115.100,4.900,33.000,103.700,19.600,49.400,1.000,7.400,1,3,OVERLOAD
477.500,762.100,2.500,117.200,117.400,4.300,33.000,100.100,19.500,49.500,1.000,7.500,1,3,OVERLOAD
478.000,794.500,2.500,123.200,112.900,5.400,33.000,92.300,19.400,49.300,1.000,7.500,1,3,OVERLOAD
478.500,847.500,2.500,123.700,109.200,3.800,33.000,91.800,19.200,49.400,1.000,7.500,1,3,OVERLOAD
479.000,961.700,2.500,125.400,102.500,4.400,33.000,95.500,19.400,49.000,1.000,7.400,1,3,OVERLOAD
479.500,1060.900,2.500,122.600,99.000,4.500,33.000,96.200,19.500,49.400,1.000,7.500,1,3,OVERLOAD
480.000,1093.000,2.500,122.400,91.200,5.400,29.700,92.100,19.600,49.900,1.000,7.500,1,3,OVERLOAD
480.500,1212.200,2.500,132.900,88.800,5.000,26.900,102.800,19.800,50.100,1.000,7.500,1,3,OVERLOAD
481.000,1329.400,2.500,127.000,81.700,4.200,25.600,97.300,19.800,49.700,1.000,7.600,1,3,OVERLOAD
481.500,1469.200,3.440,126.300,73.600,5.700,20.800,90.600,19.700,49.900,1.000,7.800,1,3,OVERLOAD
482.000,1559.100,3.820,131.600,74.400,5.300,22.400,103.000,19.600,50.300,1.000,7.600,1,3,OVERLOAD
482.500,1539.000,3.520,127.900,69.900,5.100,21.200,110.800,19.400,50.400,1.000,7.600,0,3,
483.000,1636.300,3.510,111.100,71.900,4.600,16.800,96.700,19.500,50.100,1.000,7.500,1,2,CAVITATION
483.500,1631.600,3.820,132.500,68.900,5.000,17.500,98.000,19.400,49.900,1.000,7.700,1,2,CAVITATION
484.000,1634.100,3.820,119.800,64.600,6.400,19.600,104.400,19.500,50.200,1.000,7.500,1,2,CAVITATION
484.500,1645.000,3.620,127.600,67.500,6.000,18.000,101.600,19.700,49.900,1.000,7.600,1,2,CAVITATION
485.000,1642.600,3.470,125.900,74.100,6.800,18.500,105.100,19.900,50.300,1.000,7.600,1,2,CAVITATION
485.500,1626.600,3.820,127.200,66.000,6.200,18.200,111.600,19.700,49.900,1.000,7.700,1,2,CAVITATION
486.000,1650.800,3.750,133.000,69.200,5.300,20.600,104.300,19.600,49.700,1.000,7.500,1,2,CAVITATION
486.500,1638.900,3.680,120.100,63.300,5.300,18.700,100.000,19.400,49.500,1.000,7.300,1,2,CAVITATION
487.000,1642.800,3.100,116.100,70.100,5.100,17.900,106.300,19.300,49.000,1.000,7.400,1,2,CAVITATION
487.500,1651.800,3.730,116.500,67.600,5.200,19.500,107.900,19.200,49.500,1.000,7.600,1,2,CAVITATION
488.000,1615.900,3.820,128.800,71.000,5.600,22.200,102.400,19.000,49.000,1.000,7.800,1,2,CAVITATION
488.500,1633.300,2.500,136.000,65.200,4.500,19.600,112.000,19.100,48.700,1.000,7.900,1,2,CAVITATION
489.000,1625.400,3.320,132.800,65.300,5.700,18.400,106.300,19.200,48.400,1.000,7.900,1,2,CAVITATION
489.500,1633.900,3.040,128.100,63.300,5.400,18.200,104.100,19.000,48.400,1.000,7.800,1,2,CAVITATION
490.000,1639.300,3.750,124.700,67.200,4.900,20.800,109.000,19.000,48.400,1.000,8.000,1,2,CAVITATION
490.500,1643.100,3.600,114.400,68.600,5.300,18.500,109.600,19.000,48.700,1.000,7.800,1,2,CAVITATION
491.000,1604.700,3.780,133.400,58.800,5.700,18.300,106.000,19.000,48.800,1.000,7.700,1,2,CAVITATION
491.500,1645.000,3.680,113.800,70.800,5.400,20.100,111.300,18.800,48.500,1.000,7.800,1,2,CAVITATION
492.000,1619.600,3.510,113.400,67.400,5.200,19.400,93.000,18.700,48.300,1.000,7.800,1,2,CAVITATION
492.500,1629.500,3.820,114.400,66.600,5.800,17.700,120.000,18.700,48.600,1.000,7.700,1,2,CAVITATION
493.000,1644.200,3.060,116.800,68.700,5.400,19.600,97.500,18.600,49.000,1.000,7.800,1,2,CAVITATION
493.500,1624.200,3.280,120.600,65.500,4.400,18.600,100.000,18.600,48.600,1.000,7.600,1,2,CAVITATION
494.000,1619.600,3.580,136.000,64.200,4.800,20.900,105.900,18.800,48.400,1.000,7.600,1,2,CAVITATION
494.500,1626.800,3.210,126.900,67.100,5.500,21.200,95.800,19.000,48.800,1.000,7.600,1,2,CAVITATION
495.000,1640.900,3.820,120.300,68.000,5.900,17.600,96.700,19.100,48.500,1.000,7.700,1,2,CAVITATION
495.500,1645.300,2.870,131.100,65.700,6.200,18.800,100.900,19.000,48.200,1.000,7.900,1,2,CAVITATION
496.000,1635.600,3.820,116.900,66.200,4.800,17.500,108.100,19.000,47.800,1.000,7.900,1,2,CAVITATION
496.500,1615.100,3.820,118.500,66.300,5.800,21.100,99.000,18.900,48.100,1.000,7.700,1,2,CAVITATION
497.000,1616.600,3.350,123.700,66.700,4.500,20.500,108.000,18.900,48.400,1.000,7.700,1,2,CAVITATION
497.500,1636.600,3.480,123.900,67.800,5.700,20.800,107.100,18.800,48.100,1.000,7.600,1,2,CAVITATION
498.000,1620.600,2.980,112.400,62.900,6.400,17.100,101.700,18.800,47.700,1.000,7.800,1,2,CAVITATION
498.500,1648.900,3.640,121.600,67.900,5.300,18.800,110.900,19.000,47.900,1.000,7.600,1,5,IMPELLER_DAMAGE
499.000,1649.400,3.260,115.800,65.900,5.300,16.900,104.000,18.800,47.800,1.000,7.500,1,5,IMPELLER_DAMAGE
499.500,1647.200,3.150,127.400,66.500,6.800,19.800,100.600,18.800,48.000,1.000,7.400,1,5,IMPELLER_DAMAGE
500.000,1642.700,3.710,125.900,67.900,6.400,18.600,109.000,18.700,48.000,1.000,7.300,1,5,IMPELLER_DAMAGE
500.500,1626.100,3.150,116.700,65.800,6.600,18.000,105.900,18.600,48.300,1.000,7.400,1,5,IMPELLER_DAMAGE
501.000,1634.000,3.190,105.200,65.500,7.900,22.700,108.800,18.500,48.400,1.000,7.300,1,5,IMPELLER_DAMAGE
501.500,1626.100,3.320,115.000,66.100,6.400,19.200,102.500,18.500,48.300,1.000,7.200,1,5,IMPELLER_DAMAGE
502.000,1612.100,3.500,118.600,62.800,8.100,19.600,104.800,18.400,48.200,1.000,7.400,1,5,IMPELLER_DAMAGE
502.500,1617.000,3.410,107.700,66.400,8.100,19.400,109.800,18.500,48.400,1.000,7.200,1,5,IMPELLER_DAMAGE
503.000,1638.000,3.240,109.200,64.100,8.200,18.300,104.000,18.400,48.900,1.000,7.100,1,5,IMPELLER_DAMAGE
503.500,1608.300,2.500,106.200,62.800,8.300,18.600,100.800,18.300,48.700,1.000,7.000,1,5,IMPELLER_DAMAGE
504.000,1653.800,2.960,98.900,64.900,8.400,17.200,120.000,18.100,48.700,1.000,7.000,1,5,IMPELLER_DAMAGE
504.500,1637.000,2.630,98.300,63.000,9.000,19.000,99.800,18.300,48.600,1.000,7.000,1,5,IMPELLER_DAMAGE
505.000,1637.500,3.390,91.000,60.900,9.300,22.100,96.300,18.200,48.900,1.000,7.000,1,5,IMPELLER_DAMAGE
505.500,1639.200,3.390,104.700,62.400,9.600,19.800,115.300,18.400,48.700,1.000,7.000,1,5,IMPELLER_DAMAGE
506.000,1628.000,2.800,93.600,63.500,10.500,17.200,99.800,18.400,48.500,1.000,7.100,1,5,IMPELLER_DAMAGE
506.500,1650.400,3.220,93.800,65.100,9.900,17.000,109.300,18.400,48.400,1.000,7.000,1,5,IMPELLER_DAMAGE
507.000,1619.000,3.240,98.500,67.600,9.600,21.500,103.500,18.400,48.100,1.000,7.000,1,5,IMPELLER_DAMAGE
507.500,1641.200,2.740,98.700,63.800,10.700,17.500,111.100,18.500,48.300,1.000,7.000,1,5,IMPELLER_DAMAGE
508.000,1643.400,3.190,100.000,64.100,10.700,20.200,101.800,18.300,48.600,1.000,7.000,1,5,IMPELLER_DAMAGE
508.500,1625.600,3.190,91.600,65.700,11.400,18.800,113.900,18.300,49.000,1.000,7.000,1,5,IMPELLER_DAMAGE
