time,rpm,pressure,flow_rate,temperature,vibration,current,noise,ambient_temp,humidity,fluid_viscosity,external_vibration,failure,failure_type,failure_transition
9195.5,1632.3,4.25,124.9,66.3,4.2,19.1,93.2,18.1,49.7,1.0,7.6,0,0,SAFE
10600.0,1630.3,4.25,118.6,73.9,4.8,19.2,93.7,26.3,40.4,1.0,7.4,0,0,SAFE
9732.0,1622.6,3.88,125.1,66.0,5.8,19.3,101.6,21.8,37.4,1.0,9.1,0,0,SAFE
473.5,199.7,2.5,126.9,120.0,6.3,33.0,97.4,19.1,50.2,1.0,7.4,1,3,OVERLOAD
6242.0,1636.9,3.43,129.2,72.7,5.0,20.2,99.3,25.7,38.0,1.0,8.8,0,0,SAFE
4383.5,528.6,2.5,127.3,120.0,4.3,33.0,105.5,27.2,36.7,1.0,9.2,1,3,OVERLOAD
2998.0,1653.1,2.5,90.0,73.3,15.0,22.6,99.6,25.7,35.6,1.0,8.0,1,5,IMPELLER_DAMAGE
6407.0,1632.7,4.25,115.2,80.4,5.1,20.2,101.7,28.4,42.5,1.0,7.0,0,0,SAFE
6973.0,1634.5,4.25,124.2,72.3,4.8,19.1,103.7,23.1,52.2,1.0,10.0,0,0,SAFE
8219.0,1653.6,3.75,126.2,66.0,4.7,19.8,95.9,17.7,43.8,1.0,8.9,0,0,SAFE
7222.5,1648.5,4.25,122.1,71.9,4.6,19.1,98.8,22.9,53.3,1.0,8.2,0,0,SAFE
3344.5,1621.8,4.25,109.8,71.0,8.0,18.9,105.0,27.1,33.5,1.0,9.3,1,1,BEARING
8893.5,1649.5,3.58,121.4,70.7,3.8,20.5,102.8,17.5,59.4,1.0,8.4,0,0,SAFE
7764.5,1645.7,3.89,119.9,71.3,5.3,19.5,106.2,20.7,52.8,1.0,8.6,0,0,SAFE
8141.5,1648.5,3.56,123.6,68.3,4.7,19.5,99.5,18.2,44.8,1.0,8.9,0,0,SAFE
8473.0,1641.6,4.25,128.3,65.0,5.1,18.7,96.9,16.7,47.5,1.0,8.1,0,0,SAFE
8752.5,1663.0,4.25,122.5,66.1,5.4,19.0,94.6,16.9,57.3,1.0,7.9,0,0,SAFE
2634.5,647.1,2.5,136.0,120.0,5.3,33.0,100.1,23.0,50.6,1.0,9.2,1,3,OVERLOAD
4250.0,1623.9,2.5,90.0,76.2,15.0,20.2,97.4,27.0,38.6,1.0,7.7,1,5,IMPELLER_DAMAGE
8639.5,1624.5,4.25,131.0,68.0,4.7,18.4,95.7,18.8,55.4,1.0,7.5,0,0,SAFE
3784.0,100.0,2.5,117.8,120.0,4.5,33.0,112.8,26.1,36.2,1.0,7.6,1,3,OVERLOAD
10477.0,1631.1,4.25,119.0,72.0,5.7,19.8,88.1,22.5,36.2,1.0,8.1,0,0,SAFE
3633.0,1581.4,3.42,115.4,75.9,4.6,24.3,106.1,26.8,34.9,1.0,7.9,1,3,OVERLOAD
3806.0,1086.4,2.5,114.2,104.3,4.8,32.3,103.3,26.5,37.3,1.0,7.9,1,3,OVERLOAD
4633.0,1654.3,2.5,90.0,76.1,15.0,16.8,88.0,26.9,34.8,1.0,9.1,1,5,IMPELLER_DAMAGE
1759.0,1662.4,3.64,99.4,74.0,5.6,16.9,99.6,22.2,51.6,1.0,8.2,1,5,IMPELLER_DAMAGE
4011.5,1630.4,3.82,122.1,69.3,5.3,19.3,105.2,27.0,35.6,1.0,8.2,1,2,CAVITATION
2162.0,100.0,2.5,90.0,120.0,5.2,32.9,120.0,23.1,55.3,1.0,9.7,1,3,OVERLOAD
2012.0,1649.5,2.66,124.5,73.4,4.9,19.9,96.8,20.9,54.5,1.0,9.9,1,5,IMPELLER_DAMAGE
7271.0,1630.8,4.25,122.1,74.3,4.2,19.3,98.1,22.2,57.4,1.0,8.2,0,0,SAFE
1086.5,1634.6,3.36,102.6,68.4,8.3,17.1,108.8,21.9,38.8,1.0,9.2,1,5,IMPELLER_DAMAGE
2135.0,100.0,2.5,90.0,120.0,4.2,32.3,120.0,23.4,52.7,1.0,9.9,1,3,OVERLOAD
1601.0,1673.9,3.98,118.3,72.8,6.2,20.9,89.1,20.9,48.6,1.0,8.8,1,5,IMPELLER_DAMAGE
6840.5,1632.5,3.82,127.1,76.1,4.4,17.1,107.1,24.7,46.2,1.0,9.2,0,0,SAFE
10194.0,1641.9,4.25,134.0,67.8,3.8,19.6,104.9,23.1,38.2,1.0,7.7,0,0,SAFE
7407.0,1637.5,3.19,129.1,73.9,4.6,19.8,96.2,21.1,58.2,1.0,9.7,0,0,SAFE
2624.5,641.8,2.5,128.2,120.0,4.7,33.0,100.2,24.0,52.0,1.0,9.2,1,3,OVERLOAD
7729.0,1641.5,2.71,136.0,66.5,4.1,20.3,101.3,20.9,50.6,1.0,7.7,0,0,SAFE
2564.0,1631.4,4.04,120.7,80.6,4.3,18.2,111.8,23.8,52.7,1.0,8.8,1,4,SEAL_LEAK
6546.5,1642.5,4.14,120.1,77.6,4.9,19.3,103.9,28.1,44.5,1.0,9.9,0,0,SAFE
6536.5,1653.7,4.25,110.5,75.0,4.6,19.3,95.5,27.8,45.2,1.0,9.8,0,0,SAFE
7561.5,1627.5,4.25,122.5,68.7,3.8,19.8,95.3,20.0,55.4,1.0,8.8,0,0,SAFE
8855.0,1633.5,4.1,125.5,68.3,5.0,19.3,97.3,16.4,58.6,1.0,9.1,0,0,SAFE
2610.0,679.2,2.5,110.0,120.0,4.7,33.0,94.4,23.4,50.5,1.0,9.2,1,3,OVERLOAD
8464.5,1644.6,4.25,128.4,66.7,4.5,19.2,96.5,16.0,47.6,1.0,7.9,0,0,SAFE
4317.0,1631.1,2.83,116.0,74.3,4.0,17.6,114.9,27.4,39.5,1.0,8.7,1,4,SEAL_LEAK
10768.0,1635.7,3.77,126.2,73.2,5.0,17.5,105.1,27.3,45.2,1.0,9.1,0,0,SAFE
1490.0,1615.6,2.82,90.0,69.9,15.0,19.9,116.9,23.5,43.6,1.0,9.2,1,5,IMPELLER_DAMAGE
