time,rpm,pressure,flow_rate,temperature,vibration,current,noise,ambient_temp,humidity,fluid_viscosity,external_vibration,failure,failure_type,failure_transition
5900.500,1637.500,4.250,126.400,68.700,4.000,17.900,102.000,23.000,46.900,1.000,9.800,0,0,
5901.000,1620.700,4.250,127.800,70.200,3.800,19.500,97.300,23.100,47.100,1.000,9.800,0,0,
5901.500,1640.500,4.180,113.500,74.000,4.100,17.900,94.900,23.100,46.700,1.000,9.600,0,0,
5902.000,1647.900,3.650,122.300,74.700,4.600,18.300,106.100,23.100,46.500,1.000,9.500,0,0,
5902.500,1625.700,4.250,121.300,72.800,5.500,19.300,104.100,23.100,46.500,1.000,9.500,0,0,
5903.000,1624.600,4.210,127.800,70.500,5.000,17.700,96.900,23.100,46.400,1.000,9.600,0,0,
5903.500,1628.300,3.760,123.600,72.200,4.800,20.500,107.200,23.100,46.200,1.000,9.800,0,0,
5904.000,1638.700,4.200,127.300,71.400,5.100,21.100,98.800,23.100,45.800,1.000,9.600,0,0,
5904.500,1633.500,4.060,124.900,77.000,4.900,19.400,101.700,23.100,46.300,1.000,9.800,0,0,
5905.000,1637.300,4.180,127.400,73.100,4.700,20.100,91.800,23.000,45.900,1.000,9.900,0,0,
5905.500,1631.400,2.660,126.500,70.300,4.900,18.200,104.000,22.800,45.600,1.000,10.000,0,0,
5906.000,1623.200,4.250,119.800,73.200,3.900,19.000,100.900,22.900,45.500,1.000,10.000,0,0,
5906.500,1636.100,4.250,127.200,69.200,5.000,20.600,98.300,22.800,46.000,1.000,10.000,0,0,
5907.000,1641.300,3.910,118.800,70.300,4.700,18.500,100.700,22.800,46.100,1.000,10.000,0,0,
5907.500,1651.900,4.250,129.100,73.100,5.200,20.300,89.900,22.700,45.600,1.000,9.900,0,0,
5908.000,1629.000,4.190,114.300,70.500,4.900,19.000,96.600,22.500,45.800,1.000,9.800,0,0,
5908.500,1612.600,4.250,132.200,70.300,3.900,21.200,101.400,22.300,46.300,1.000,9.900,0,0,
5909.000,1629.700,3.470,117.900,71.200,4.600,18.400,96.900,22.400,46.700,1.000,9.900,0,0,
5909.500,1633.300,4.050,123.100,70.600,4.200,20.400,93.500,22.400,46.900,1.000,9.800,0,0,
5910.000,1641.700,4.180,124.500,68.000,5.000,20.300,98.600,22.500,46.800,1.000,10.000,0,0,
5910.500,1644.600,3.750,127.000,70.600,4.800,20.000,97.300,22.500,46.700,1.000,10.000,0,0,
5911.000,1651.700,3.960,125.800,72.700,4.500,19.300,100.100,22.400,47.100,1.000,10.000,0,0,
5911.500,1641.900,3.930,124.900,74.100,4.700,18.600,93.100,22.400,47.000,1.000,9.900,0,0,
5912.000,1632.900,4.030,116.200,73.100,4.400,18.300,96.500,22.600,47.100,1.000,9.800,0,0,
5912.500,1639.600,4.250,132.400,66.800,4.600,18.900,103.100,22.400,47.100,1.000,9.800,0,0,
5913.000,1633.400,3.370,136.000,70.700,4.400,18.300,103.200,22.300,47.400,1.000,10.000,0,0,
5913.500,1633.600,3.080,120.900,73.100,4.300,19.000,94.700,22.100,47.100,1.000,10.000,0,0,
5914.000,1619.300,4.250,136.000,73.400,4.600,18.600,103.500,22.200,47.300,1.000,10.000,0,0,
5914.500,1623.900,4.250,127.300,69.000,3.900,19.800,96.800,22.200,47.700,1.000,10.000,0,0,
5915.000,1621.600,3.430,127.100,67.900,4.600,18.300,88.000,22.100,47.700,1.000,9.800,0,0,
5915.500,1642.400,4.220,129.300,70.300,5.700,19.800,99.600,22.000,47.600,1.000,10.000,0,0,
5916.000,1651.800,4.250,124.400,69.400,4.800,17.100,100.900,22.000,47.500,1.000,10.000,0,0,
5916.500,1644.200,4.250,111.500,71.800,5.100,21.100,101.500,22.100,47.100,1.000,9.900,0,0,
5917.000,1633.800,3.570,121.700,71.300,4.700,19.600,98.300,22.000,46.800,1.000,10.000,0,0,
5917.500,1635.900,3.740,113.500,72.800,4.200,18.700,105.600,21.800,47.200,1.000,10.000,0,0,
5918.000,1637.300,4.250,115.300,72.100,5.000,18.200,102.100,21.900,46.800,1.000,10.000,0,0,
5918.500,1646.000,4.240,122.900,70.700,4.300,17.700,101.200,21.800,47.200,1.000,10.000,0,0,
5919.000,1625.900,3.890,125.400,67.900,4.200,19.200,101.700,22.000,46.800,1.000,10.000,0,0,
5919.500,1640.200,4.050,110.500,74.500,4.500,17.800,100.600,22.100,46.900,1.000,10.000,0,0,
